model,fpr,tpr,threshold
rule,0.0,0.0,inf
rule,0.006493506493506494,0.0,0.9999999936296584
rule,0.032467532467532464,0.0,0.9999968475732222
rule,0.032467532467532464,0.041666666666666664,0.999993077074693
rule,0.05194805194805195,0.041666666666666664,0.9998310028839278
rule,0.05194805194805195,0.052083333333333336,0.9996874981250188
rule,0.05844155844155844,0.052083333333333336,0.9996511229209849
rule,0.05844155844155844,0.0625,0.9995821051261573
rule,0.06493506493506493,0.0625,0.9995109691912186
rule,0.06493506493506493,0.08333333333333333,0.9991015740132121
rule,0.07792207792207792,0.08333333333333333,0.9981417913164986
rule,0.07792207792207792,0.11458333333333333,0.9969051669375987
rule,0.09740259740259741,0.11458333333333333,0.9956462572191241
rule,0.09740259740259741,0.125,0.9931304150781203
rule,0.11038961038961038,0.125,0.9904255414995335
rule,0.11038961038961038,0.13541666666666666,0.9902481879239435
rule,0.11688311688311688,0.13541666666666666,0.9898109662245046
rule,0.11688311688311688,0.14583333333333334,0.9877756715342264
rule,0.12987012987012986,0.14583333333333334,0.9874227468741416
rule,0.14285714285714285,0.14583333333333334,0.9868873623653077
rule,0.15584415584415584,0.14583333333333334,0.9830457755042277
rule,0.15584415584415584,0.17708333333333334,0.9788440009459242
rule,0.16233766233766234,0.17708333333333334,0.9784867152888446
rule,0.16233766233766234,0.1875,0.9775537752365593
rule,0.16883116883116883,0.1875,0.9758998339825002
rule,0.16883116883116883,0.19791666666666666,0.9739261195276512
rule,0.18181818181818182,0.19791666666666666,0.9647613856004806
rule,0.18181818181818182,0.20833333333333334,0.9644790592410575
rule,0.2077922077922078,0.20833333333333334,0.9537136802742041
rule,0.2077922077922078,0.23958333333333334,0.9418346613241573
rule,0.24025974025974026,0.23958333333333334,0.9082760418972707
rule,0.24025974025974026,0.25,0.9007728366901738
rule,0.24675324675324675,0.25,0.9002123180330739
rule,0.24675324675324675,0.2604166666666667,0.8945075335581016
rule,0.2532467532467532,0.2604166666666667,0.888707459217735
rule,0.2532467532467532,0.2708333333333333,0.8880058548276146
rule,0.2597402597402597,0.2708333333333333,0.8769739264612096
rule,0.2597402597402597,0.28125,0.8721072501112758
rule,0.2662337662337662,0.28125,0.8713937261824546
rule,0.2662337662337662,0.2916666666666667,0.8688285935085144
rule,0.2922077922077922,0.2916666666666667,0.8294234063395961
